product_id,license_number,license_year,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,dosage_form_group,preparation_type,route_raw,route_normalized,oral_liquid_inclusion_evidence,indication_raw,indication_normalized,therapeutic_class,legal_category,license_status,license_expiry_date,applicant,manufacturer,source_id,verified_at
oral_liquid_00001,內衛藥製字第005541號,1970,賜百力口服液,TZUPARA ORAL LIQUID,口服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=口服液劑; approved use=; names=賜百力口服液 / TZUPARA ORAL LIQUID. Inclusion uses dosage form and approved oral route, not indication alone.",消除疲勞、病中病後之營養補給、增強體力、妊娠婦之補給營養。,消除疲勞、病中病後之營養補給、增強體力、妊娠婦之補給營養。,other,製　劑,active,2028/05/25,三洋藥品工業股份有限公司大發廠,三洋藥品工業股份有限公司大發廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00002,內衛藥製字第005900號,1970,羅咪咳嗽甜漿,ROMITUSSIN SYRUP,糖漿劑,syrup,syrup,ready_to_use,,oral,"TFDA dosage form=糖漿劑; approved use=; names=羅咪咳嗽甜漿 / ROMITUSSIN SYRUP. Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、咳嗽、喀痰）。,緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、咳嗽、喀痰）。,cough,製　劑,active,2027/12/31,人人化學製藥股份有限公司,人人化學製藥股份有限公司中壢廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00003,內衛藥製字第005966號,1970,千百力－威口服液１００ＭＬ,CHENPALI ORAL LIQUID 100ML,口服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=口服液劑; approved use=; names=千百力－威口服液１００ＭＬ / CHENPALI ORAL LIQUID 100ML. Inclusion uses dosage form and approved oral route, not indication alone.",消除疲勞、營養障礙、口角炎、貧血、壞血病,消除疲勞、營養障礙、口角炎、貧血、壞血病,other,製　劑,active,2028/05/25,三洋藥品工業股份有限公司大發廠,三洋藥品工業股份有限公司大發廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00004,內衛藥製字第006278號,1970,"""健康"" 百樂咳糖漿","BENACOUGH SYRUP ""HEALTH""",糖漿劑,syrup,syrup,ready_to_use,,oral,"TFDA dosage form=糖漿劑; approved use=; names=""健康"" 百樂咳糖漿 / BENACOUGH SYRUP ""HEALTH"". Inclusion uses dosage form and approved oral route, not indication alone.",祛痰，緩解咳嗽．,祛痰，緩解咳嗽．,antihistamine,製　劑,active,2029/05/25,健康化學製藥股份有限公司,健康化學製藥股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00005,衛部藥製字第060158號,2018,"""國嘉""袪敏內服液1毫克/毫升","Cetirizine Oral Solution 1mg/mL ""Kojar""",內服液劑,oral_solution,oral_solution,ready_to_use,請詳見仿單,oral,"TFDA dosage form=內服液劑; approved use=請詳見仿單; names=""國嘉""袪敏內服液1毫克/毫升 / Cetirizine Oral Solution 1mg/mL ""Kojar"". Inclusion uses dosage form and approved oral route, not indication alone.",季節性鼻炎、過敏性鼻炎、結膜炎、蕁麻疹、過敏性搔癢等過敏現象。,季節性鼻炎、過敏性鼻炎、結膜炎、蕁麻疹、過敏性搔癢等過敏現象。,antihistamine,製　劑,active,2028/08/14,國嘉製藥工業股份有限公司幼獅三廠,國嘉製藥工業股份有限公司幼獅三廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00006,衛署藥製字第005948號,1975,"""達德士""固咳液","CUCO SOLUTION ""D.T.S""",內服液劑,oral_solution,oral_solution,ready_to_use,一天3次。成人每次6ml，12歲以上適用成人劑量；6歲以上未滿12歲，每次3ml；3歲以上未滿6歲，每次1.5ml；3歲以下之嬰幼兒，請洽醫師診治。,oral,"TFDA dosage form=內服液劑; approved use=一天3次。成人每次6ml，12歲以上適用成人劑量；6歲以上未滿12歲，每次3ml；3歲以上未滿6歲，每次1.5ml；3歲以下之嬰幼兒，請洽醫師診治。; names=""達德士""固咳液 / CUCO SOLUTION ""D.T.S"". Inclusion uses dosage form and approved oral route, not indication alone.",鎮咳、祛痰,鎮咳、祛痰,cough,製　劑,active,2028/05/25,達德士藥品有限公司,羅得化學製藥股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00007,衛署藥製字第005959號,1975,理肝力口服液,LIKANLI ORAL LIQUID,口服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=口服液劑; approved use=; names=理肝力口服液 / LIKANLI ORAL LIQUID. Inclusion uses dosage form and approved oral route, not indication alone.",維護肝臟正常功能、消除疲勞、增強體力、營養補給,維護肝臟正常功能、消除疲勞、增強體力、營養補給,other,製　劑,active,2028/05/25,久松化學企業股份有限公司,久松化學企業股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00008,衛署藥製字第005974號,1975,"""久松""嗽友液","SAUYOU LIQUID ""C.S.""",內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=""久松""嗽友液 / SAUYOU LIQUID ""C.S."". Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、喀痰、咳嗽）。,緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、喀痰、咳嗽）。,antihistamine; expectorant_mucolytic,製　劑,active,2028/05/25,久松化學企業股份有限公司,久松化學企業股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00009,衛署藥製字第006692號,1990,嗽百安液,"SAUPAN SOLUTION ""CHEN TA""",內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=嗽百安液 / SAUPAN SOLUTION ""CHEN TA"". Inclusion uses dosage form and approved oral route, not indication alone.",鎮咳袪痰,鎮咳袪痰,cough,製　劑,active,2028/05/25,成大藥品股份有限公司,成大藥品股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00010,衛署藥製字第013134號,1977,"""救人""救嗽感冒液","COLD SOLUTION ""C.J.""",內服液劑,oral_solution,oral_solution,ready_to_use,成人一次10ml，一天4次。12歲以上，適用成人劑量。6歲以上未滿12歲，適用成人劑量之1/2。3歲以上未滿6歲，適用成人劑量之1/4。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,oral,"TFDA dosage form=內服液劑; approved use=成人一次10ml，一天4次。12歲以上，適用成人劑量。6歲以上未滿12歲，適用成人劑量之1/2。3歲以上未滿6歲，適用成人劑量之1/4。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。; names=""救人""救嗽感冒液 / COLD SOLUTION ""C.J."". Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀(流鼻水、鼻塞、打噴嚏、咽喉痛、咳嗽、喀痰、畏寒、發燒、頭痛、關節痛、肌肉酸痛等),緩解感冒之各種症狀(流鼻水、鼻塞、打噴嚏、咽喉痛、咳嗽、喀痰、畏寒、發燒、頭痛、關節痛、肌肉酸痛等),antipyretic_analgesic; antihistamine,製　劑,active,2028/05/25,澳斯麗國際股份有限公司淡水廠,澳斯麗國際股份有限公司淡水廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00011,衛署藥製字第013231號,1977,久松感熱安感冒液,"KAN JO KAO SOLUTION ""C.S.""",內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=久松感熱安感冒液 / KAN JO KAO SOLUTION ""C.S."". Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀（鼻塞、流鼻水、打噴嚏、喀痰、咽喉痛、發燒、頭痛、關節痛、肌肉痛）。,緩解感冒之各種症狀（鼻塞、流鼻水、打噴嚏、喀痰、咽喉痛、發燒、頭痛、關節痛、肌肉痛）。,antipyretic_analgesic; antihistamine; expectorant_mucolytic,製　劑,active,2028/05/25,久松化學企業股份有限公司,久松化學企業股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00012,衛署藥製字第013339號,1977,百嗽寶糖漿,"PANCOPAR SYRUP ""BOWLIN""",糖漿劑,syrup,syrup,ready_to_use,,oral,"TFDA dosage form=糖漿劑; approved use=; names=百嗽寶糖漿 / PANCOPAR SYRUP ""BOWLIN"". Inclusion uses dosage form and approved oral route, not indication alone.",鎮咳、袪痰（感冒、支氣管炎及呼吸器疾患所引起之咳嗽、喀痰）,鎮咳、袪痰（感冒、支氣管炎及呼吸器疾患所引起之咳嗽、喀痰）,cough,製　劑,active,2028/05/25,寶齡富錦生技股份有限公司,寶齡富錦生技股份有限公司平鎮廠,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00013,衛署藥製字第013390號,1977,"""天仁""賜清風液","SYHCHIFON SOLUTION ""TEN JIN""",內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=""天仁""賜清風液 / SYHCHIFON SOLUTION ""TEN JIN"". Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀（鼻塞、流鼻水、打噴嚏、咽喉痛、發燒、頭痛、喀痰，關節痛，肌肉痛）,緩解感冒之各種症狀（鼻塞、流鼻水、打噴嚏、咽喉痛、發燒、頭痛、喀痰，關節痛，肌肉痛）,antipyretic_analgesic; antihistamine; expectorant_mucolytic,製　劑,active,2024/08/29,天仁生化工業股份有限公司,龍杏生技製藥股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00014,衛署藥製字第013398號,1977,肝樂健口服液,"CAN LOW GEN ""C.M.""",內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=肝樂健口服液 / CAN LOW GEN ""C.M."". Inclusion uses dosage form and approved oral route, not indication alone.",消除疲勞、增強體力、營養補給、維護肝臟正常功能,消除疲勞、增強體力、營養補給、維護肝臟正常功能,other,製　劑,active,2029/05/25,中美兄弟製藥股份有限公司,中美兄弟製藥股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
oral_liquid_00015,衛署藥製字第013445號,1977,八仙感百安感冒液,BA SHIAN GAAN BAE AN COLD SOLUTION,內服液劑,oral_solution,oral_solution,ready_to_use,,oral,"TFDA dosage form=內服液劑; approved use=; names=八仙感百安感冒液 / BA SHIAN GAAN BAE AN COLD SOLUTION. Inclusion uses dosage form and approved oral route, not indication alone.",緩解感冒之各種症狀（咽喉痛、發燒、頭痛、關節痛、肌肉痛、流鼻水、鼻塞、打噴嚏、咳嗽）,緩解感冒之各種症狀（咽喉痛、發燒、頭痛、關節痛、肌肉痛、流鼻水、鼻塞、打噴嚏、咳嗽）,antipyretic_analgesic; antihistamine,製　劑,active,2029/02/19,漁人製藥股份有限公司,臺灣派頓化學製藥股份有限公司,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
