level_1,level_2,product_count,formula_count,official_phrase_variant_count,top_official_phrases,top_herbs_from_inferred_parent,classification_scope
未分類／需人工複核,未對應的官方描述,18275,203,3737,（官方適應症未提供可解析文字） (5496) | 脾胃虛弱 (468) | 關節痛 (338) | 口舌生瘡 (330) | 蚊蟲咬傷 (309) | 外感風寒 (242) | 元氣不足 (214) | 小便赤澀 (211) | 益氣養神 (206) | 發熱 (190) | 神經痛 (188) | 臟腑積熱 (157),當歸 (7961) | 炙甘草 (7566) | 生薑 (7412) | 茯苓 (7150) | 甘草 (6759) | 白芍 (6499) | 川芎 (6278) | 大棗 (6201) | 人參 (5577) | 黃芩 (4934) | 熟地黃 (4404) | 白朮 (4323) | 桔梗 (3419) | 陳皮 (3257) | 防風 (3193) | 柴胡 (3099) | 大黃 (2920) | 生地黃 (2801) | 半夏 (2769) | 黃耆 (2702),official indication phrase only; formula association is inferred-parent level
呼吸／感冒,咳嗽,1409,56,151,咳嗽 (367) | 鎮咳 (151) | 咳嗽氣喘 (108) | 外感咳嗽 (47) | 咳嗽痰多氣急 (35) | 咳嗽咽痛 (31) | 止咳 (30) | 咳嗽上氣 (29) | 乾咳無痰 (29) | 熱症喘咳 (28) | 感冒咳嗽 (28) | 咳嗽痰多 (26),甘草 (885) | 桔梗 (628) | 半夏 (624) | 生薑 (563) | 茯苓 (543) | 杏仁 (429) | 陳皮 (373) | 炙甘草 (318) | 大棗 (286) | 薄荷 (279) | 桑白皮 (267) | 麻黃 (263) | 人參 (234) | 蘇子 (217) | 前胡 (204) | 麥門冬 (203) | 紫蘇葉 (180) | 當歸 (178) | 白芍 (171) | 荊芥 (164),official indication phrase only; formula association is inferred-parent level
呼吸／感冒,痰多／祛痰,1332,55,186,化痰 (138) | 挾痰熱 (96) | 祛痰 (70) | 喀痰不暢 (47) | 氣虛痰飲 (40) | 痰白清稀 (38) | 痰白黏或色黃 (36) | 咳嗽痰多氣急 (35) | 氣虛有痰 (32) | 痰涎壅盛 (30) | 乾咳無痰 (29) | 痰嗽 (27),甘草 (761) | 茯苓 (745) | 半夏 (682) | 生薑 (604) | 桔梗 (493) | 陳皮 (475) | 大棗 (337) | 人參 (306) | 杏仁 (296) | 炙甘草 (268) | 白朮 (264) | 桂枝 (197) | 川芎 (194) | 前胡 (188) | 薄荷 (173) | 桑白皮 (173) | 當歸 (171) | 黃柏 (160) | 蒼朮 (159) | 神麴 (158),official indication phrase only; formula association is inferred-parent level
疼痛／筋骨／外傷,頭痛,1043,54,80,頭痛 (253) | 感冒頭痛 (106) | 偏正頭痛 (101) | 頭痛發熱 (77) | 頭痛無汗 (40) | 頭痛項強 (33) | 頭痛口渴 (33) | 發熱頭痛 (32) | 頭痛眩暈 (29) | 頭痛身熱 (29) | 頭痛身疼 (28) | 頭痛鼻塞 (26),甘草 (453) | 生薑 (401) | 川芎 (345) | 炙甘草 (281) | 羌活 (273) | 白芷 (252) | 防風 (240) | 大棗 (235) | 桔梗 (225) | 葛根 (220) | 薄荷 (216) | 荊芥 (198) | 白芍 (191) | 細辛 (172) | 茯苓 (169) | 桂枝 (155) | 人參 (148) | 麻黃 (143) | 紫蘇葉 (140) | 枳殼 (137),official indication phrase only; formula association is inferred-parent level
疼痛／筋骨／外傷,腰痛／腰膝痠痛,1039,39,52,腰痛足痠 (155) | 腰膝痠軟 (153) | 腰痛 (115) | 腰痠背痛 (99) | 腰膝痠重 (89) | 腰脊痠痛 (74) | 腰痛耳鳴 (73) | 腰痠腹痛 (53) | 腰痠腿軟 (43) | 腰膝痠痛 (32) | 腰痠耳鳴 (26) | 腰膝痠楚 (20),茯苓 (571) | 熟地黃 (533) | 澤瀉 (391) | 山藥 (371) | 山茱萸 (368) | 牡丹皮 (364) | 白芍 (335) | 當歸 (314) | 川芎 (273) | 人參 (173) | 牛膝 (160) | 白朮 (156) | 甘草 (148) | 炙甘草 (141) | 肉桂 (134) | 生薑 (104) | 黃柏 (103) | 炮附子 (100) | 生地黃 (95) | 車前子 (94),official indication phrase only; formula association is inferred-parent level
疼痛／筋骨／外傷,跌打損傷／瘀傷,1017,25,69,跌打損傷 (369) | 跌撲損傷 (218) | 瘀血停滯 (172) | 刀傷創傷 (84) | 產後瘀血腹痛 (39) | 打撲損傷 (38) | 瘀血痛經 (32) | 跌打撲傷 (26) | 跌打損傷引起之胸部疼痛 (26) | 打撲損傷引起之胸部疼痛 (21) | 治跌打損傷 (18) | 打撲損傷之敷貼 (14),當歸 (275) | 甘草 (260) | 茯苓 (195) | 白芍 (195) | 牡丹皮 (194) | 紅花 (185) | 丁香 (145) | 木香 (145) | 血竭 (145) | 兒茶 (145) | 熟大黃 (145) | 蓮肉 (145) | 大黃 (126) | 桃仁 (126) | 炙甘草 (99) | 川芎 (87) | 黃芩 (70) | 芒硝 (60) | 栝樓根 (55) | 陳皮 (52),official indication phrase only; formula association is inferred-parent level
消化,消化不良／食慾不振,999,46,41,食慾不振 (321) | 消化不良 (316) | 食少無味 (184) | 食少便溏 (105) | 不思飲食 (50) | 食少體倦 (50) | 神疲食少 (34) | 食少無力 (22) | 氣血兩虛引起之食少無力 (10) | 飲食少思 (8) | 小兒消化不良症 (5) | 小兒消化不良 (4),大棗 (792) | 白朮 (791) | 炙甘草 (789) | 生薑 (729) | 人參 (662) | 茯苓 (638) | 陳皮 (536) | 當歸 (426) | 黃耆 (279) | 白芍 (244) | 柴胡 (215) | 厚朴 (210) | 熟地黃 (186) | 甘草 (185) | 桔梗 (163) | 半夏 (161) | 升麻 (143) | 川芎 (133) | 砂仁 (131) | 蒼朮 (127),official indication phrase only; formula association is inferred-parent level
其他明確症狀,頭暈／眩暈,927,46,54,頭暈目眩 (320) | 頭暈耳鳴 (74) | 頭暈 (68) | 目眩 (63) | 頭暈鼻塞 (61) | 頭暈面赤 (51) | 眩暈 (44) | 頭昏目眩 (38) | 肝厥頭暈 (36) | 頭目眩暈 (31) | 頭痛眩暈 (29) | 肝風內動之頭痛眩暈 (20),茯苓 (541) | 澤瀉 (437) | 熟地黃 (382) | 牡丹皮 (371) | 山藥 (359) | 山茱萸 (351) | 白芍 (204) | 生薑 (176) | 半夏 (172) | 人參 (168) | 炙甘草 (157) | 甘菊花 (149) | 黃芩 (148) | 當歸 (139) | 白朮 (134) | 柴胡 (123) | 大棗 (123) | 黃柏 (121) | 川芎 (118) | 枸杞子 (110),official indication phrase only; formula association is inferred-parent level
消化,噁心／嘔吐,913,48,134,嘔吐 (170) | 噁心嘔吐 (60) | 心煩喜嘔 (56) | 嘔吐痞悶 (41) | 噁心 (40) | 鼻鳴乾嘔 (29) | 嘔而腸鳴 (27) | 微嘔 (26) | 嘔吐不止 (26) | 乾嘔少氣口渴 (24) | 嘔吐泄瀉 (23) | 噯氣嘔吐 (21),生薑 (590) | 半夏 (498) | 炙甘草 (496) | 大棗 (469) | 人參 (425) | 陳皮 (351) | 茯苓 (329) | 白朮 (211) | 黃芩 (201) | 蒼朮 (178) | 甘草 (176) | 厚朴 (170) | 柴胡 (165) | 乾薑 (135) | 桂枝 (119) | 白芍 (99) | 砂仁 (75) | 木香 (74) | 黃連 (74) | 澤瀉 (70),official indication phrase only; formula association is inferred-parent level
全身／虛損,氣血不足／貧血,902,31,59,氣血兩虛 (273) | 氣血不足 (213) | 貧血 (79) | 肝鬱血虛發熱 (72) | 婦人血虛氣滯 (47) | 血虛勞倦 (46) | 氣血虛弱 (27) | 營衛氣血不足 (24) | 血虛有熱 (20) | 血虛 (15) | 氣血兩虛引起之食少無力 (10) | 血虛有火 (10),當歸 (745) | 白芍 (644) | 川芎 (475) | 白朮 (450) | 熟地黃 (444) | 茯苓 (421) | 炙甘草 (391) | 人參 (358) | 生薑 (258) | 大棗 (252) | 黃耆 (239) | 柴胡 (140) | 薄荷 (122) | 肉桂 (101) | 甘草 (84) | 牡丹皮 (80) | 山梔子 (79) | 煨薑/生薑 (77) | 乾薑 (74) | 枸杞子 (59),official indication phrase only; formula association is inferred-parent level
