product_id,license_number,chinese_name,substance_id,raw_name,strength_raw,normalization_status,parsing_rule,confidence,reason,source_id
oral_liquid_00086,衛署藥製字第044123號,雙合黴素糖漿用粉劑　３１．２５公絲/公撮,sub_tfda_0812600200,AMOXICILLIN,EACH ML CONTAINS: AMOXICILLIN (POTENCY) 25 MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00086,衛署藥製字第044123號,雙合黴素糖漿用粉劑　３１．２５公絲/公撮,sub_tfda_4410000400,CLAVULANIC ACID,EACH ML CONTAINS: CLAVULANIC ACID (POTENCY) 6.25 MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00164,內衛藥製字第008234號,雅黴素乾糖漿,sub_tfda_0812509210,ERYTHROMYCIN (ESTOLATE),EACH GM CONTAINS: ERYTHROMYCIN (ESTOLATE) 200 MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00170,衛部藥製字第060864號,"""國嘉""寶淨口服懸液用粉劑10g",sub_tfda_8424124700,MACROGOL 4000,Each pack contains: MACROGOL 4000 (eq. to Polyethylene Glycol ) GM,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00172,衛署罕藥輸字第000001號,司狄摩口服溶液１公克／１０毫升,sub_tfda_4010000110,CITRULLINE MALATE,CITRULLINE MALATE 1.000000 GM,unresolved,denominator_not_identified,low,Official detail retained; parser did not infer beyond rule denominator_not_identified.,tfda_open_data_info43_cached_20260711
oral_liquid_00190,衛署藥製字第021731號,"""優良""安清敏糖漿用顆粒（塞浦希）",sub_tfda_0400001210,CYPROHEPTADINE HCL,EACH GM(REPRESENT 2.5ML OF SUSP)CONTAINS CYPROHEPTADINE HCL 1.0 MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00202,內衛藥製字第012960號,"""紐約"" 紅黴素乾甜乳",sub_tfda_0812509210,ERYTHROMYCIN (ESTOLATE),EACH GM CONTAINS: ERYTHROMYCIN (ESTOLATE) (173MG) MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00236,衛署藥製字第027929號,"""優良""喀清糖漿用顆粒（鹽酸溴克辛）",sub_tfda_4800000310,BROMHEXINE HCL,EACH GM CONTAINS: BROMHEXINE HCL 4.00 MG,unresolved,reconstitution_context_missing,low,Official detail retained; parser did not infer beyond rule reconstitution_context_missing.,tfda_open_data_info43_cached_20260711
oral_liquid_00299,衛署藥製字第044808號,熱必解感冒液,sub_tfda_2808000100,ACETAMINOPHEN (EQ TO PARACETAMOL),ACETAMINOPHEN (EQ TO PARACETAMOL) 10.000000 MG,unresolved,denominator_not_identified,low,Official detail retained; parser did not infer beyond rule denominator_not_identified.,tfda_open_data_info43_cached_20260711
oral_liquid_00299,衛署藥製字第044808號,熱必解感冒液,sub_tfda_0400000810,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE 0.100000 MG,unresolved,denominator_not_identified,low,Official detail retained; parser did not infer beyond rule denominator_not_identified.,tfda_open_data_info43_cached_20260711
