review_reason,dosage_form_raw,use_text_type,name_features,derived_preparation_type,review_trigger_rule,record_count,auto_include_count,auto_exclude_count,unresolved_count
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",68,0,68,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",39,0,39,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,explicit_oral_use,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",28,28,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",22,0,22,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",22,0,22,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",19,0,0,19
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",19,0,0,19
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用粉劑,blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",12,12,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",11,11,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用顆粒劑,blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",10,10,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,blank,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",9,9,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,other_official_text,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",9,9,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",8,0,0,8
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,blank,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",8,0,0,8
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",8,0,8,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,blank,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",7,7,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",滴劑,explicit_oral_use,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",7,7,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",6,0,0,6
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液用粉劑,other_official_text,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",6,6,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液用粉劑,leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",6,6,0,0
