indication_id,indication_standard,category_id,indication_category,source_terms,category_confidence,category_reason,category_review_status,notes
IND0001,神經痛,CAT03,神經痛與局部麻醉,神經痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0002,關節炎,CAT01,肌肉骨骼疼痛與發炎,關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0003,肩膀酸痛,CAT01,肌肉骨骼疼痛與發炎,肩膀酸痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0004,碰傷,CAT02,外傷與軟組織損傷,碰傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0005,腰傷,CAT02,外傷與軟組織損傷,腰傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0006,頭痛,CAT14,頸部以上部位疼痛,頭痛,HIGH,依人工指定為頸部以上部位疼痛,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0007,牙痛,CAT14,頸部以上部位疼痛,牙痛,HIGH,依人工指定為頸部以上部位疼痛,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0008,扁桃腺炎,CAT15,扁桃腺炎,扁桃腺炎,HIGH,依人工指定為扁桃腺炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0009,乳腺炎,CAT13,其他治療用途,乳腺炎,MEDIUM,適應症可理解但不屬於指定主要治療大類,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0010,筋骨疲勞等炎症,CAT01,肌肉骨骼疼痛與發炎,筋骨疲勞等炎症,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0011,腰酸背痛,CAT01,肌肉骨骼疼痛與發炎,腰酸背痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0012,肌肉痛,CAT01,肌肉骨骼疼痛與發炎,肌肉痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0013,肌肉疲勞,CAT01,肌肉骨骼疼痛與發炎,肌肉疲勞,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0014,拗傷,CAT02,外傷與軟組織損傷,拗傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0015,扭傷,CAT02,外傷與軟組織損傷,扭傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0016,雞眼,CAT12,皮膚局部治療,雞眼,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0017,疣贅,CAT12,皮膚局部治療,疣贅,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0018,胼胝,CAT12,皮膚局部治療,胼胝,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0019,角質剝離劑,CAT12,皮膚局部治療,角質剝離劑,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0020,紅腫疼痛,CAT02,外傷與軟組織損傷,紅腫疼痛,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0021,退腫,CAT02,外傷與軟組織損傷,退腫,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0022,新舊創傷,CAT02,外傷與軟組織損傷,新舊創傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0023,化膿消腫,CAT02,外傷與軟組織損傷,化膿消腫,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0024,神經抽痛,CAT03,神經痛與局部麻醉,神經抽痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0025,腰骨痠痛,CAT01,肌肉骨骼疼痛與發炎,腰骨痠痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0026,關節痛,CAT01,肌肉骨骼疼痛與發炎,關節痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0027,腰痛,CAT01,肌肉骨骼疼痛與發炎,腰痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0028,筋骨疲勞,CAT01,肌肉骨骼疼痛與發炎,筋骨疲勞,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0029,筋肉痛,CAT01,肌肉骨骼疼痛與發炎,筋肉痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0030,風濕痛,CAT01,肌肉骨骼疼痛與發炎,風濕痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0031,挫傷,CAT02,外傷與軟組織損傷,挫傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0032,風濕關節痛,CAT01,肌肉骨骼疼痛與發炎,風濕關節痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0033,腫脹,CAT02,外傷與軟組織損傷,腫脹,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0034,肩膀痠痛,CAT01,肌肉骨骼疼痛與發炎,肩膀痠痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0035,打傷消腫,CAT02,外傷與軟組織損傷,打傷消腫,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0036,肩胛酸痛,CAT01,肌肉骨骼疼痛與發炎,肩胛酸痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0037,運動後之肌肉疼痛及關節痛,CAT01,肌肉骨骼疼痛與發炎,運動後之肌肉疼痛及關節痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0038,肩痛,CAT01,肌肉骨骼疼痛與發炎,肩痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0039,風濕關節炎,CAT01,肌肉骨骼疼痛與發炎,風濕關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0040,筋肉痛之消炎,CAT01,肌肉骨骼疼痛與發炎,筋肉痛之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0041,濕疹,CAT12,皮膚局部治療,濕疹,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0042,汗疹,CAT12,皮膚局部治療,汗疹,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0043,潰瘍,CAT12,皮膚局部治療,潰瘍,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0044,火傷,CAT12,皮膚局部治療,火傷,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0045,燙傷,CAT12,皮膚局部治療,燙傷,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0046,皮膚焱等傷患局部之殺菌消毒及消炎,CAT12,皮膚局部治療,皮膚焱等傷患局部之殺菌消毒及消炎,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0047,關節痛之消炎,CAT01,肌肉骨骼疼痛與發炎,關節痛之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0048,腫痛之緩解,CAT02,外傷與軟組織損傷,腫痛之緩解,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0049,肩膀痛,CAT01,肌肉骨骼疼痛與發炎,肩膀痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0050,腰酸背痛之消炎,CAT01,肌肉骨骼疼痛與發炎,腰酸背痛之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0051,風濕,CAT01,肌肉骨骼疼痛與發炎,風濕,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
