review_id,license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,ambiguity_reason,recommended_action,source_id,verified_at
review_0062,衛署藥製字第006553號,"""豐田"" 氫氧化鋁凝膠錠","ALUMINUM HYDROXIDE DRIED GEL TABLETS ""HONTEN""",錠劑,一天3至4次，或需要時服用。應嚼碎後吞服。成人每次2錠，12歲以上適用成人劑量。6歲以上未滿12歲，每次1錠。3歲以上未滿 6歲，每次1/2錠。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0080,衛署藥製字第013666號,明德銳利解痛錠５００毫克,Relax Analgesic Tablets 500mg,錠劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0110,衛署藥製字第034632號,達樂２００公絲膠囊（單那若）,"DANAL 200MG CAPSULES (DANAZOLE) ""ROYAL""",膠囊劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0131,衛署藥製字第039745號,伏痛凝膠10毫克/公克,FUTON GEL 10MG/GM (INDOMETHACIN),膠囊劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0234,內衛藥製字第009649號,"""人人""桿菌素眼軟膏","BACITRACIN OPHTHALMIC OINTMENT ""GCPC""",點眼膏劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0249,內衛藥製字第009859號,"""人人""乾燥氫氧化鋁凝膠錠",DRIED ALUMINUM HYDROXIDE GEL TABLETS,錠劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0270,內衛藥製字第011133號,紐安必新眼軟膏,NEOBACIN OPHTHALMIC OINTMENT,點眼膏劑,,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0324,衛署藥製字第019607號,"""久松""松安止痛錠","SUNG AN ANALGESIC TABLETS ""C.S.""",錠劑,發燒或需要時服用，若症狀持續，則每4-6小時可重複使用，每24小時內不可超過3次，飯後半小時內服用為宜。成人每次2錠，12歲以上適用成人劑量；6歲以上未滿12歲，每次1錠；3歲以上未滿6歲，每次1/2錠；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0546,衛署藥製字第016042號,疼痛寧顆粒,ANALGESIN GRANULES,內服顆粒劑,一日3次。飯後半小時內服用為宜。成人每次0.8公克，18歲以上，適用成人劑量。,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0578,衛署藥製字第018609號,"""盈盈""鎮痛解熱錠500毫克（乙醯胺酚）","ANALGESIC TABLETS 500MG ""SOURIREE"" (ACETAMINOPHEN)",錠劑,發燒或需要時服用，若症狀持續，則每4~6小時可重複服用，每24小時內不可超過4次。成人每次1~2錠，12歲以上適用成人劑量；6歲以上未滿12歲，每次1/2~1錠；3歲以上未滿6歲，每次1/2~1/4錠；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。初次應使用最小建議劑量，再視症狀增減用量。,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0588,衛署藥製字第022020號,"""人生""胃乳錠（氫氧化鋁凝膠）","ALUMINGEL TABLETS ""JEN SHENG"" (ALUMINUM HYDROXIDE GEL)",錠劑,一天3至4次，或需要時服用。應嚼碎後吞服。成人每次2錠，12歲以上適用成人劑量；6歲以上未滿12歲，每次1錠；3歲以上未滿6歲，每次1/2錠；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,TFDA solid insertion dosage-form/name/use signal,solid_insertion_not_confirmed,Check official TFDA route/approved leaflet manually; do not include before site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
