indication_id,indication_raw,indication_normalized,source_id
ind_unknown,消除疲勞、病中病後之營養補給、增強體力、妊娠婦之補給營養。,消除疲勞、病中病後之營養補給、增強體力、妊娠婦之補給營養。,tfda_open_data_info37_cached_20260711
ind_30129,治療成人及三歲以上兒童局部癲癇發作之輔助療法。治療成人帶狀&#30129;疹後神經痛。,治療成人及三歲以上兒童局部癲癇發作之輔助療法。治療成人帶狀&#30129;疹後神經痛。,tfda_open_data_info37_cached_20260711
ind_16_4_12_12,"16歲以上病人之局部癲癇發作(併有或不併有次發性全身發作)之單獨治療。
4歲以上孩童或成人病人之局部癲癇發作(併有或不併有次發性全身發作)，12歲以上青少年與成人病人之肌抽躍性癲癇發作，以及12歲以上青少年與成⼈患有體質性泛發性癲癇的原發性泛發性強直陣攣發作之輔助治療。",16歲以上病人之局部癲癇發作(併有或不併有次發性全身發作)之單獨治療。 4歲以上孩童或成人病人之局部癲癇發作(併有或不併有次發性全身發作)，12歲以上青少年與成人病人之肌抽躍性癲癇發作，以及12歲以上青少年與成⼈患有體質性泛發性癲癇的原發性泛發性強直陣攣發作之輔助治療。,tfda_open_data_info37_cached_20260711
ind_ntrk_1_ntrk_acquired_resistance_mutation_2_severe_morbidity_3,"適用於有NTRK 基因融合的實體腫瘤之成人和兒童病人，並應符合以下三項條件:
1、具NTRK基因融合且無已知的後天阻抗性突變(acquired resistance mutation)；
2、為轉移性實體腫瘤，或手術切除極可能造成嚴重病症(severe morbidity)；
3、沒有合適的替代治療選項，或於治療後發生疾病惡化。",適用於有ntrk 基因融合的實體腫瘤之成人和兒童病人，並應符合以下三項條件: 1、具ntrk基因融合且無已知的後天阻抗性突變(acquired resistance mutation)； 2、為轉移性實體腫瘤，或手術切除極可能造成嚴重病症(severe morbidity)； 3、沒有合適的替代治療選項，或於治療後發生疾病惡化。,tfda_open_data_info37_cached_20260711
ind_a_d,鈣及維生素A、D缺乏症之治療。,鈣及維生素a、d缺乏症之治療。,tfda_open_data_info37_cached_20260711
ind_x,緩解偶發性便秘、手術前、X光或內視鏡檢查前之腸灌洗。,緩解偶發性便秘、手術前、x光或內視鏡檢查前之腸灌洗。,tfda_open_data_info37_cached_20260711
ind_portal_systemic_encephalopathy_hepatic_precoma_hepatic_coma,患病期慢性便秘、門系肝腦病變 (portal systemic encephalopathy)、肝昏迷前期 (hepatic precoma)、肝昏迷 (hepatic coma),患病期慢性便秘、門系肝腦病變 (portal systemic encephalopathy)、肝昏迷前期 (hepatic precoma)、肝昏迷 (hepatic coma),tfda_open_data_info37_cached_20260711
ind_1_2,1.類鴉片物質成癮之戒毒。2.類鴉片物質成癮替代療法。,1.類鴉片物質成癮之戒毒。2.類鴉片物質成癮替代療法。,tfda_open_data_info37_cached_20260711
ind_a,巴金森病，預防及治療A型流行感冒症狀。,巴金森病，預防及治療a型流行感冒症狀。,tfda_open_data_info37_cached_20260711
ind_1_13_17_2_10_17_valproate_3_valproate_4_5_6_17_6,"1.成人和青少年(13至17歲)的思覺失調症。 
2.成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或Valproate的輔助治療。 
3.第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。 
4.重鬱症之輔助治療。 
5.兒童(6至17歲)的自閉性疾患伴隨之急躁易怒。
6.妥瑞氏症。",1.成人和青少年(13至17歲)的思覺失調症。 2.成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或valproate的輔助治療。 3.第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。 4.重鬱症之輔助治療。 5.兒童(6至17歲)的自閉性疾患伴隨之急躁易怒。 6.妥瑞氏症。,tfda_open_data_info37_cached_20260711
ind_citrulline,先天性因CITRULLINE缺乏引起之尿素代謝具常之高血氨症。,先天性因citrulline缺乏引起之尿素代謝具常之高血氨症。,tfda_open_data_info37_cached_20260711
ind_carnitine,用於先天遺傳性代謝異常的續發性Carnitine缺乏症病患之急性慢性治療。,用於先天遺傳性代謝異常的續發性carnitine缺乏症病患之急性慢性治療。,tfda_open_data_info37_cached_20260711
ind_1_2_1_complex_partial_seizure_simple_or_complex_partial_seizure_with_secondary_generalization_2_primary_generalized_tonic_clonic_seizures_pgtcs_idiopathic_generalized_epilepsy,"1.四歲以上有或無次發性全身發作的局部癲癇發作病人的單一藥物治療。
2.輔助治療以下症狀：
(1) 四歲以上複雜性局部癲癇發作(complex partial seizure)與單純或複雜性局部發作之合併有次發性全身發作(simple or complex partial seizure with secondary generalization)癲癇病人。
(2) 四歲以上原發性全面強直陣攣發作(primary generalized tonic-clonic seizures; PGTCS)合併特發性全面癲癇發作(idiopathic generalized epilepsy)的病人。",1.四歲以上有或無次發性全身發作的局部癲癇發作病人的單一藥物治療。 2.輔助治療以下症狀： (1) 四歲以上複雜性局部癲癇發作(complex partial seizure)與單純或複雜性局部發作之合併有次發性全身發作(simple or complex partial seizure with secondary generalization)癲癇病人。 (2) 四歲以上原發性全面強直陣攣發作(primary generalized tonic-clonic seizures; pgtcs)合併特發性全面癲癇發作(idiopathic generalized epilepsy)的病人。,tfda_open_data_info37_cached_20260711
ind_6_11_20,緩解6至11歲且體重達20公斤以上兒童過敏性鼻炎(季節性和常年性)及慢性蕁麻疹的症狀。,緩解6至11歲且體重達20公斤以上兒童過敏性鼻炎(季節性和常年性)及慢性蕁麻疹的症狀。,tfda_open_data_info37_cached_20260711
ind_meniere_s,利尿、降眼壓、MENIERE'S病之改善。,利尿、降眼壓、meniere's病之改善。,tfda_open_data_info37_cached_20260711
ind_fibromyalgia,糖尿病周邊神經病變所引起的神經性疼痛、帶狀疱疹後神經痛、成人局部癲癇的輔助治療、纖維肌痛(fibromyalgia)、脊髓損傷所引起的神經性疼痛。,糖尿病周邊神經病變所引起的神經性疼痛、帶狀疱疹後神經痛、成人局部癲癇的輔助治療、纖維肌痛(fibromyalgia)、脊髓損傷所引起的神經性疼痛。,tfda_open_data_info37_cached_20260711
ind_1_13_17_2_3_10_17_valproate_4_valproate_5_6_6_17_7,"1.成人和青少年(13至17歲)的思覺失調症。
2.治療小兒思覺失調症的特殊考量：兒童及青少年的精神疾患的診斷標準通常與成人不一致。建議於充分診斷及評估相關風險後再給予藥物治療。藥物治療小兒思覺失調症應僅是總體治療(包含心理、教育及社會介入)的一部分。
3.成⼈和兒童(10⾄17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使⽤或做為鋰鹽或Valproate的輔助治療。
4.第⼀型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。
5.重鬱症之輔助治療。
6.兒童(6⾄17歲)的⾃閉性疾患伴隨之急躁易怒。
7.妥瑞氏症。",1.成人和青少年(13至17歲)的思覺失調症。 2.治療小兒思覺失調症的特殊考量：兒童及青少年的精神疾患的診斷標準通常與成人不一致。建議於充分診斷及評估相關風險後再給予藥物治療。藥物治療小兒思覺失調症應僅是總體治療(包含心理、教育及社會介入)的一部分。 3.成⼈和兒童(10⾄17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使⽤或做為鋰鹽或valproate的輔助治療。 4.第⼀型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。 5.重鬱症之輔助治療。 6.兒童(6⾄17歲)的⾃閉性疾患伴隨之急躁易怒。 7.妥瑞氏症。,tfda_open_data_info37_cached_20260711
ind_non_painful_procedure,兒童檢查(non-painful procedure)前之鎮靜,兒童檢查(non-painful procedure)前之鎮靜,tfda_open_data_info37_cached_20260711
ind_x_linked_hypophosphatemic_rickets,性聯遺傳型低磷酸鹽佝僂症(X-linked Hypophosphatemic Rickets),性聯遺傳型低磷酸鹽佝僂症(x-linked hypophosphatemic rickets),tfda_open_data_info37_cached_20260711
