product_id,license_number,license_year,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,application_site,action_scope,suppository_inclusion_evidence,indication_raw,indication_normalized,therapeutic_class,license_status,license_expiry_date,applicant,manufacturer,source_id,verified_at,processing_status
supp_0001,衛部藥製字第060150號,2018,允消淨沒黴陰道錠500毫克,Winsolve Clinbeauty Vaginal Tablets 500mg,陰道錠,vaginal_tablet,請詳見仿單,intravaginal,vaginal,local,"TFDA dosage form=陰道錠; approved use=請詳見仿單; product names=允消淨沒黴陰道錠500毫克 / Winsolve Clinbeauty Vaginal Tablets 500mg. Inclusion determined from dosage form and route/name signals, not indication alone.",由黴菌(多數念珠球菌毛滴蟲屬)所引起之白帶、陰道炎。,由黴菌(多數念珠球菌毛滴蟲屬)所引起之白帶、陰道炎。,antifungal,active,2028/08/13,永信藥品工業股份有限公司,永信藥品工業股份有限公司台中幼獅廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0002,衛部藥製字第060236號,2019,"""國嘉""樂導便栓劑10毫克","Cathartinol Suppository 10mg ""Kojar""",栓劑,rectal_suppository,請詳見仿單,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=請詳見仿單; product names=""國嘉""樂導便栓劑10毫克 / Cathartinol Suppository 10mg ""Kojar"". Inclusion determined from dosage form and route/name signals, not indication alone.",暫時緩解便秘，診斷及手術前清腸。,暫時緩解便秘，診斷及手術前清腸。,laxative,active,2029/01/31,國嘉製藥工業股份有限公司幼獅三廠,國嘉製藥工業股份有限公司幼獅三廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0003,衛部藥製字第060255號,2019,"""永信""淨沒黴陰道錠100毫克","Clinbeauty Vaginal Tablets 100mg ""Yung Shin""",陰道錠,vaginal_tablet,請詳見仿單,intravaginal,vaginal,local,"TFDA dosage form=陰道錠; approved use=請詳見仿單; product names=""永信""淨沒黴陰道錠100毫克 / Clinbeauty Vaginal Tablets 100mg ""Yung Shin"". Inclusion determined from dosage form and route/name signals, not indication alone.",治療陰道念珠菌及滴蟲所引起之陰道感染。,治療陰道念珠菌及滴蟲所引起之陰道感染。,antifungal,active,2029/03/19,永信藥品工業股份有限公司,永信藥品工業股份有限公司台中幼獅廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0004,衛署藥製字第006485號,1975,化熱栓劑,Lybrile Suppositories,栓劑,rectal_suppository,發燒或需要時服用，若症狀持續，則每4-6小時可重複服用，每24小時內不可超過3次。成人及12歲以上，每次4粒，不可剝半使用。,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=發燒或需要時服用，若症狀持續，則每4-6小時可重複服用，每24小時內不可超過3次。成人及12歲以上，每次4粒，不可剝半使用。; product names=化熱栓劑 / Lybrile Suppositories. Inclusion determined from dosage form and route/name signals, not indication alone.",退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）。,退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）。,other_rectal,active,2028/05/25,永信藥品工業股份有限公司,永信藥品工業股份有限公司台中幼獅廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0005,衛署藥製字第006507號,1975,"""中美"" 愛潔栓劑","TRICHAZOL SUPPOSITORIES ""C.M.""",栓劑,rectal_suppository,,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=; product names=""中美"" 愛潔栓劑 / TRICHAZOL SUPPOSITORIES ""C.M."". Inclusion determined from dosage form and route/name signals, not indication alone.",陰道滴蟲感染所引起之陰道炎。,陰道滴蟲感染所引起之陰道炎。,other_rectal,active,2028/05/25,中美兄弟製藥股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0006,衛署藥製字第006593號,1975,通樂栓劑,"THROUGH SUPPOSITORIES ""C.M.""",栓劑,rectal_suppository,,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=; product names=通樂栓劑 / THROUGH SUPPOSITORIES ""C.M."". Inclusion determined from dosage form and route/name signals, not indication alone.",僂麻質斯熱、關節僂麻質斯、關節痛、神經痛、頭痛、齒痛、月經痛等之鎮痛解熱消炎。,僂麻質斯熱、關節僂麻質斯、關節痛、神經痛、頭痛、齒痛、月經痛等之鎮痛解熱消炎。,other_rectal,active,2028/05/25,中美兄弟製藥股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0007,衛署藥製字第034585號,1991,"""衛達""妳達新陰道栓劑","NYDASIN VAGINAL SUPPOSITORIES ""WEIDAR""",栓劑,vaginal_suppository,,intravaginal,vaginal,local,"TFDA dosage form=栓劑; approved use=; product names=""衛達""妳達新陰道栓劑 / NYDASIN VAGINAL SUPPOSITORIES ""WEIDAR"". Inclusion determined from dosage form and route/name signals, not indication alone.",念珠菌感染引起之陰道炎。,念珠菌感染引起之陰道炎。,antifungal,active,2026/11/19,衛達化學製藥股份有限公司,衛達化學製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0008,衛署藥製字第040974號,1997,"""榮民"" 克黴樂陰道錠500毫克（克氯黴唑）","CLOMAZOLE VAGINAL TABLETS 500MG (CLOTRIMAZOLE) ""VPP""",陰道錠,vaginal_tablet,,intravaginal,vaginal,local,"TFDA dosage form=陰道錠; approved use=; product names=""榮民"" 克黴樂陰道錠500毫克（克氯黴唑） / CLOMAZOLE VAGINAL TABLETS 500MG (CLOTRIMAZOLE) ""VPP"". Inclusion determined from dosage form and route/name signals, not indication alone.",由黴菌（多數念珠球菌毛滴蟲屬）所引起之白帶、陰道炎。,由黴菌（多數念珠球菌毛滴蟲屬）所引起之白帶、陰道炎。,antifungal,active,2027/03/19,榮民製藥股份有限公司,榮民製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0009,衛署藥製字第055238號,2010,“培力”保理寧陰道栓劑,Polinin vaginal suppositories“P.L.”,陰道栓劑,vaginal_suppository,詳見仿單,intravaginal,vaginal,local,"TFDA dosage form=陰道栓劑; approved use=詳見仿單; product names=“培力”保理寧陰道栓劑 / Polinin vaginal suppositories“P.L.”. Inclusion determined from dosage form and route/name signals, not indication alone.",子宮頸糜爛、子宮頸炎(含由毛滴蟲及念珠菌引起者)、陰道炎、白帶。,子宮頸糜爛、子宮頸炎(含由毛滴蟲及念珠菌引起者)、陰道炎、白帶。,antiseptic,active,2030/08/03,培力藥品工業股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0010,衛署藥製字第009250號,1976,"""永信""無秘栓劑","BISACODYL SUPPOSITORIES ""YUNG SHIN""",栓劑,rectal_suppository,"除非醫師另有處方，否則依下列推薦劑量使用。
便祕：[成人及10歲以上的兒童]1-2錠(5-10mg)，[4-10歲兒童]1錠(5mg)，[4歲以下兒童]建議使用1/2栓劑(5mg)。建議在晚上服用腸溶糖衣錠，翌晨即可排便，且必須整錠伴與適量的液體吞服。但腸溶糖衣錠請勿與會降低上腸胃道酸度的製品（例如牛奶、制酸劑或某些正子幫浦抑制劑）同時服用，以免腸溶衣過早被溶解。
用於診斷過程及手術前的準備：用於診斷過程及手術前、後清除腸容物時，需在醫護監督下使用Bisacodyl。用於腹部放射照影檢查或手術前腸容物徹底排空，錠劑必須與栓劑配合使用。[成人]建議劑量為在檢查前夜睡前2-4顆腸溶糖衣錠 ，檢查當天早上再使用一個栓劑。[4歲及4歲以上兒童]建議在晚上服用一顆腸溶糖衣錠，翌晨再使用半個栓劑。",rectal,rectal,local,"TFDA dosage form=栓劑; approved use=除非醫師另有處方，否則依下列推薦劑量使用。
便祕：[成人及10歲以上的兒童]1-2錠(5-10mg)，[4-10歲兒童]1錠(5mg)，[4歲以下兒童]建議使用1/2栓劑(5mg)。建議在晚上服用腸溶糖衣錠，翌晨即可排便，且必須整錠伴與適量的液體吞服。但腸溶糖衣錠請勿與會降低上腸胃道酸度的製品（例如牛奶、制酸劑或某些正子幫浦抑制劑）同時服用，以免腸溶衣過早被溶解。
用於診斷過程及手術前的準備：用於診斷過程及手術前、後清除腸容物時，需在醫護監督下使用Bisacodyl。用於腹部放射照影檢查或手術前腸容物徹底排空，錠劑必須與栓劑配合使用。[成人]建議劑量為在檢查前夜睡前2-4顆腸溶糖衣錠 ，檢查當天早上再使用一個栓劑。[4歲及4歲以上兒童]建議在晚上服用一顆腸溶糖衣錠，翌晨再使用半個栓劑。; product names=""永信""無秘栓劑 / BISACODYL SUPPOSITORIES ""YUNG SHIN"". Inclusion determined from dosage form and route/name signals, not indication alone.",暫時緩解便秘，診斷及手術前清腸。,暫時緩解便秘，診斷及手術前清腸。,laxative,active,2030/03/17,永信藥品工業股份有限公司,永信藥品工業股份有限公司台中幼獅廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
