review_id,license_number,chinese_name,english_name,dosage_form_raw,route_raw,review_type,reason,recommended_action,source_id,verified_at
review_00094,衛署藥製字第013446號,免嗽寧液,ANTI COUGH NING SOLUTION,液劑,一日3 次，成人每次10ml，12 歲以上，適用成人劑量；9 歲以上未滿12 歲，適用成人劑量之1/2；6 歲以上未滿9 歲，適用成人劑量之1/3；未滿6 歲之兒童，請洽醫師診治，不宜自行使用。,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00111,衛署藥製字第013700號,"""洸洋""敵避防蚊液","DIETHYLTOLUAMIDE SOLUTION ""K.Y.""",液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00218,衛署藥製字第055014號,“榮民”平吐寧懸液劑 1 毫克/毫升,Tonine Suspension 1mg/mL,懸液劑,詳見仿單,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00257,內衛成製字第003123號,龜鹿益壽菁,MIN TONG ISHOUCHING,液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00271,內衛藥製字第000938號,安利黴素懸濁用顆粒,ERYMYCIN GRANULES FOR SUSPENSION,懸液用顆粒劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00380,衛署藥製字第008373號,"""達德士""齒痛水","CHYTONSUI ""D.T.S""",液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00406,衛署藥製字第019423號,"""杏輝"" 金碘藥水（普威隆碘）","SINDINE SOLUTION ""SINPHAR"" (POVIDONE-IODINE)",溶液劑,一日數次 塗抹於患部，或以紗布、脫脂棉等沾取塗抹。,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00407,衛署藥製字第019424號,"""杏輝"" 金碘酒精液（普維酮碘）","SINDINE ALCOHOLIC SOLUTION ""SINPHAR"" (POVIDONE-IODINE)",溶液劑,一日數次，塗抹(撒佈或噴灑)於患部，或以紗布、脫脂棉等沾取塗抹。,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00422,衛署藥製字第024613號,"""皇佳"" 胃喜因懸浮液","OXEIN SUSPESION ""ROYAL""",懸液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00477,衛署藥製字第037637號,"""永勝""保胃康懸液２０公絲/公撮（希每得定）","POWEGON SUSPENSION 20MG/ML (CIMETIDINE) ""EVEREST""",懸液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00489,衛署藥製字第044130號,暢快拉拉滴劑7.5毫克/毫升,LaLa Fun Sodium Picosulfate Drops 7.5 mg/ml,滴劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00563,衛署藥輸字第024723號,3M 快速乾式刷手液,3M Avagard,乳劑,外科刷手用途：使用前請清潔雙手及指甲並使其乾燥。建議於每天第一次使用時，以nail stick清潔指甲縫隙。按壓一次刷手液(約2ml)到左手的手掌心。將右手的指尖浸入左手刷手液中，並確保指縫完全接觸到液體。以右手將左手掌中剩餘刷手液均勻塗抹於左手掌及手臂，並往上延展直到超過手肘。再按壓一次到右手的手掌心，並重複上述步驟，將右手掌手臂塗抹均勻直到超過手肘。按壓第三次到任一手掌心，再將雙手的手腕部位均勻塗抹一遍。待乾燥後再穿戴手套。一般醫護人員之手部殺菌：使用前請清潔雙手及指甲並使其乾燥。按壓一次(約2ml)到一手的手掌心。均勻塗抹於雙手，手腕，特別注意手指間的空隙及指甲縫隙。等待期自然乾燥，不需擦乾。,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00660,衛部藥輸字第028993號,止癲速10毫克口頰黏膜吸收溶液劑,SeizuEase 10 mg oromucosal solution,溶液劑,詳如仿單,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
review_00748,衛署藥製字第022284號,"""人人""每非那懸浮液１６１/４公絲","MEFENA SUSPENSION  161/4MG (MEFENAMIC ACID) ""GCPC""",懸液劑,,inclusion,"MR-C01: Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Keep unresolved; do not include in formal data or statistics without stronger official structured evidence.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
