review_id,license_number,chinese_name,english_name,dosage_form_raw,route_raw,review_type,reason,recommended_action,source_id,verified_at,review_reason,use_text_type,name_features,derived_preparation_type,decision,dosage_form_group,preparation_type,resolution_rule_id,confidence,official_evidence,resolved_at
review_00009,內衛藥製字第005500號,"""華盛頓""克痢懸浮液","KAOLI SUSPENSION ""W.P.""",懸液劑,一天3次，或需要時服用。服用間隔應在4小時以上。成人每次8mL，12歲以上適用成人劑量；6歲以上未滿12歲，每次4mL；3歲以上未滿6歲，每次2mL；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",explicit_oral_use,generic_liquid_name,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,"TFDA dosage form=懸液劑; approved use=一天3次，或需要時服用。服用間隔應在4小時以上。成人每次8mL，12歲以上適用成人劑量；6歲以上未滿12歲，每次4mL；3歲以上未滿6歲，每次2mL；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。; names=""華盛頓""克痢懸浮液 KAOLI SUSPENSION ""W.P."".",2026-07-14T17:31:47+08:00
review_00048,衛部藥製字第060217號,復抑諾懸液用粉40毫克/毫升,Fluzole powder for oral suspension 40mg/ml,懸液用粉劑,請詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,powder_for_oral_suspension,requires_reconstitution,MR-A03,high,TFDA dosage form=懸液用粉劑; approved use=請詳見仿單; names=復抑諾懸液用粉40毫克/毫升 Fluzole powder for oral suspension 40mg/ml.,2026-07-14T17:31:47+08:00
review_00057,衛部藥製字第060272號,"""五福""樂托品點眼液0.01%","""Wu Fu"" Latropine Eye Drops 0.01%",點眼液劑,請詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,"TFDA dosage form=點眼液劑; approved use=請詳見仿單; names=""五福""樂托品點眼液0.01% ""Wu Fu"" Latropine Eye Drops 0.01%.",2026-07-14T17:31:47+08:00
review_00061,衛部藥輸字第026640號,吉緩而舒點眼液,Xalaprost Eye Drops,點眼液劑,請詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=點眼液劑; approved use=請詳見仿單; names=吉緩而舒點眼液 Xalaprost Eye Drops.,2026-07-14T17:31:47+08:00
review_00063,衛部藥輸字第026652號,瀉必寧30毫克懸浮液用顆粒劑,Hidrasec Children 30mg Granules for oral suspension,懸浮液用顆粒劑,詳如仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,granules_for_oral_suspension,requires_reconstitution,MR-A03,high,TFDA dosage form=懸浮液用顆粒劑; approved use=詳如仿單; names=瀉必寧30毫克懸浮液用顆粒劑 Hidrasec Children 30mg Granules for oral suspension.,2026-07-14T17:31:47+08:00
review_00084,衛署藥製字第013198號,安比西林口服懸浮液用粉,"AMPICILLIN POWDER FOR ORAL SUSPENSION ""VPP""",懸液用粉劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,powder_for_oral_suspension,requires_reconstitution,MR-A03,high,"TFDA dosage form=懸液用粉劑; approved use=; names=安比西林口服懸浮液用粉 AMPICILLIN POWDER FOR ORAL SUSPENSION ""VPP"".",2026-07-14T17:31:47+08:00
review_00091,衛署藥製字第013426號,欣目益福點眼液,SIMULIFU SOLUTION,點眼液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=點眼液劑; approved use=; names=欣目益福點眼液 SIMULIFU SOLUTION.,2026-07-14T17:31:47+08:00
review_00094,衛署藥製字第013446號,免嗽寧液,ANTI COUGH NING SOLUTION,液劑,一日3 次，成人每次10ml，12 歲以上，適用成人劑量；9 歲以上未滿12 歲，適用成人劑量之1/2；6 歲以上未滿9 歲，適用成人劑量之1/3；未滿6 歲之兒童，請洽醫師診治，不宜自行使用。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",volume_dosing_without_route_word,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,TFDA dosage form=液劑; approved use=一日3 次，成人每次10ml，12 歲以上，適用成人劑量；9 歲以上未滿12 歲，適用成人劑量之1/2；6 歲以上未滿9 歲，適用成人劑量之1/3；未滿6 歲之兒童，請洽醫師診治，不宜自行使用。; names=免嗽寧液 ANTI COUGH NING SOLUTION.,2026-07-14T17:31:47+08:00
review_00111,衛署藥製字第013700號,"""洸洋""敵避防蚊液","DIETHYLTOLUAMIDE SOLUTION ""K.Y.""",液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=液劑; approved use=; names=""洸洋""敵避防蚊液 DIETHYLTOLUAMIDE SOLUTION ""K.Y."".",2026-07-14T17:31:47+08:00
review_00115,衛署藥製字第034222號,馬蓋先口服懸濁液20毫克/毫升,MAC SAFE ORAL SUSPENSION 20MG/ML (IBUPROFEN),懸液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,TFDA dosage form=懸液劑; approved use=; names=馬蓋先口服懸濁液20毫克/毫升 MAC SAFE ORAL SUSPENSION 20MG/ML (IBUPROFEN).,2026-07-14T17:31:47+08:00
