product_id,class_id,classification_evidence,source_id
oral_liquid_00001,other,Multi-signal pharmacologic rule uses TFDA active summary (THIAMINE MONONITRATE;;NIACINAMIDE (NICOTINAMIDE);;PYRIDOXINE HCL;;RIBOFLAVIN (VIT B2);;ASPARTATE MAGNESIUM L-;;ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00002,cough,Multi-signal pharmacologic rule uses TFDA active summary (PHENYLEPHRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;AMMONIUM CHLORIDE;;PYRILAMINE MALEATE (MEPYRAMINE MALEATE);;DEXTROMETHORPHAN HBR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00003,other,Multi-signal pharmacologic rule uses TFDA active summary (ASPARTATE MAGNESIUM L-;;PANTHENOL;;NIACINAMIDE (NICOTINAMIDE);;PYRIDOXINE HCL;;ASCORBIC ACID (VIT C);;RIBOFLAVIN (VIT B2);;ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE);;CYANOCOBALAMIN (VIT B12)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00004,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (AMMONIUM CHLORIDE;;DIPHENHYDRAMINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00005,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL )); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00006,cough,Multi-signal pharmacologic rule uses TFDA active summary (POTASSIUM CRESOLSULFONATE;;DEXTROMETHORPHAN HBR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00007,other,Multi-signal pharmacologic rule uses TFDA active summary (NIACINAMIDE (NICOTINAMIDE);;THIOCTIC ACID AMIDE (THIOCTAMIDE);;ASCORBIC ACID (VIT C);;THIAMINE MONONITRATE;;PYRIDOXINE HCL;;INOSITOL (MESO-INOSITOL);;RIBOFLAVIN (VIT B2)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00008,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE HYDRATE;;DL-METHYLEPHEDRINE HCL;;DYPHYLLINE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;METHOXYPHENAMINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00008,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE HYDRATE;;DL-METHYLEPHEDRINE HCL;;DYPHYLLINE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;METHOXYPHENAMINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00009,cough,Multi-signal pharmacologic rule uses TFDA active summary (DEXTROMETHORPHAN HBR;;POTASSIUM CRESOLSULFONATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00010,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;SENEGA;;CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate);;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00010,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;SENEGA;;CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate);;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00011,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (GLYCYRRHIZA EXTRACT;;CHLORPHENIRAMINE MALEATE;;CAFFEINE;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
